,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,location_pair_id,locations,country,loc2,loc1
293,Johannesburg,"('Bloemfontein', 'Bloemfontein', 'South Africa')",1,355.05923063048914,-2.169773277856956,26.215496,-29.116395,"('Johannesburg', ('Bloemfontein', 'Bloemfontein', 'South Africa'))",146,"('Bloemfontein', 'Bloemfontein', 'South Africa')",South Africa,Bloemfontein,Bloemfontein
294,Johannesburg,"('Bushbuckridge', 'Bushbuckridge', 'South Africa')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Bushbuckridge', 'Bushbuckridge', 'South Africa'))",147,Johannesburg,South Africa,Bushbuckridge,Bushbuckridge
295,Johannesburg,"('Bushbuckridge', 'Bushbuckridge', 'South Africa')",1,355.1629168721529,0.29947358913681316,31.067731,-24.833560000000002,"('Johannesburg', ('Bushbuckridge', 'Bushbuckridge', 'South Africa'))",147,"('Bushbuckridge', 'Bushbuckridge', 'South Africa')",South Africa,Bushbuckridge,Bushbuckridge
296,Johannesburg,"('Chokwe', 'Chokwe', 'Mozambique')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Chokwe', 'Chokwe', 'Mozambique'))",148,Johannesburg,Mozambique,Chokwe,Chokwe
297,Johannesburg,"('Chokwe', 'Chokwe', 'Mozambique')",1,557.0966609836294,0.2888733703222583,32.85984723301459,-24.48862045,"('Johannesburg', ('Chokwe', 'Chokwe', 'Mozambique'))",148,"('Chokwe', 'Chokwe', 'Mozambique')",Mozambique,Chokwe,Chokwe
298,Johannesburg,"('Dennilton', 'Dennilton', 'South Africa')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Dennilton', 'Dennilton', 'South Africa'))",149,Johannesburg,South Africa,Dennilton,Dennilton
299,Johannesburg,"('Dennilton', 'Dennilton', 'South Africa')",1,152.71796120299484,0.6235738595045986,29.168888899999995,-25.265555600000003,"('Johannesburg', ('Dennilton', 'Dennilton', 'South Africa'))",149,"('Dennilton', 'Dennilton', 'South Africa')",South Africa,Dennilton,Dennilton
300,Johannesburg,"('Durban', 'Bluff', 'South Africa')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Durban', 'Bluff', 'South Africa'))",150,Johannesburg,South Africa,Bluff,Durban
301,Johannesburg,"('Durban', 'Bluff', 'South Africa')",1,484.3141011703791,-0.8120845325343682,31.009909000000004,-29.861825,"('Johannesburg', ('Durban', 'Bluff', 'South Africa'))",150,"('Durban', 'Bluff', 'South Africa')",South Africa,Bluff,Durban
302,Johannesburg,"('Dutywa', 'Dutywa', 'South Africa')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Dutywa', 'Dutywa', 'South Africa'))",151,Johannesburg,South Africa,Dutywa,Dutywa
303,Johannesburg,"('Dutywa', 'Dutywa', 'South Africa')",1,606.4429417908494,-1.491744081866139,28.304297,-32.097151000000004,"('Johannesburg', ('Dutywa', 'Dutywa', 'South Africa'))",151,"('Dutywa', 'Dutywa', 'South Africa')",South Africa,Dutywa,Dutywa
